Authors,Title,Year,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Affiliations,Authors with affiliations,Abstract,Author Keywords,Publisher
"Cui H., Zhai J., Ma C.","miRLocator: Machine learning-based prediction of mature MicroRNAs within plant pre-miRNA sequences",2015,"10","11","e0142753","","",,"10.1371/journal.pone.0142753","School of Computer Science and Information Engineering, Hubei University, Wuhan, 430070, China; Center of Bioinformatics, College of Life Science, Northwest A and F University, Yangling, 712100, China; Biomass Energy Center for Arid and Semi-Arid Lands, Northwest A and F University, Yangling, Shaanxi, 712100, China","Cui, H., School of Computer Science and Information Engineering, Hubei University, Wuhan, 430070, China; Zhai, J., Center of Bioinformatics, College of Life Science, Northwest A and F University, Yangling, 712100, China; Ma, C., Center of Bioinformatics, College of Life Science, Northwest A and F University, Yangling, 712100, China, Biomass Energy Center for Arid and Semi-Arid Lands, Northwest A and F University, Yangling, Shaanxi, 712100, China","MicroRNAs (miRNAs) are a class of short, non-coding RNA that play regulatory roles in a wide variety of biological processes, such as plant growth and abiotic stress responses. Although several computational tools have been developed to identify primary miRNAs and precursor miRNAs (pre-miRNAs), very few provide the functionality of locating mature miRNAs within plant pre-miRNAs. This manuscript introduces a novel algorithm for predicting miRNAs named miRLocator, which isbased on machine learning techniques and sequence and structural features extracted from miRNA:miRNA∗ duplexes. To address the class imbalance problem (few real miRNAs and a large number of pseudo miRNAs), the prediction models in miRLocator were optimized by considering critical (and often ignored) factors that can markedly affect the prediction accuracy of mature miRNAs, including the machine learning algorithm and the ratio between training positive and negative samples. Ten-fold cross-validation on 5854 experimentally validated miRNAs from 19 plant species showed that miRLocator performed better than the state-of-art miRNA predictor miRdup in locating mature miRNAs within plant pre-miRNAs. miRLocator will aid researchers interested in discovering miRNAs from model and non-model plant species. © 2015 Cui et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,"Public Library of Science"
"Tomczak J.M., Zięba M.","Probabilistic combination of classification rules and its application to medical diagnosis",2015,"101","1-3",,"105","135",,"10.1007/s10994-015-5508-x","Department of Computer Science, Wrocław University of Technology, Wybrzeże Wyspiańskiego 27, Wrocław, 50-370, Poland","Tomczak, J.M., Department of Computer Science, Wrocław University of Technology, Wybrzeże Wyspiańskiego 27, Wrocław, 50-370, Poland; Zięba, M., Department of Computer Science, Wrocław University of Technology, Wybrzeże Wyspiańskiego 27, Wrocław, 50-370, Poland","Application of machine learning to medical diagnosis entails facing two major issues, namely, a necessity of learning comprehensible models and a need of coping with imbalanced data phenomenon. The first one corresponds to a problem of implementing interpretable models, e.g., classification rules or decision trees. The second issue represents a situation in which the number of examples from one class (e.g., healthy patients) is significantly higher than the number of examples from the other class (e.g., ill patients). Learning algorithms which are prone to the imbalance data return biased models towards the majority class. In this paper, we propose a probabilistic combination of soft rules, which can be seen as a probabilistic version of the classification rules, by introducing new latent random variable called conjunctive feature. The conjunctive features represent conjunctions of values of attribute variables (features) and we assume that for given conjunctive feature the object and its label (class) become independent random variables. In order to deal with the between class imbalance problem, we present a new estimator which incorporates the knowledge about data imbalanceness into hyperparameters of initial probability of objects with fixed class labels. Additionally, we propose a method for aggregating sufficient statistics needed to estimate probabilities in a graph-based structure to speed up computations. At the end, we carry out two experiments: (1) using benchmark datasets, (2) using medical datasets. The results are discussed and the conclusions are drawn. © 2015, The Author(s).","Classification rules; Imbalanced data; Medical diagnosis; Probabilistic combination","Kluwer Academic Publishers"
"Prati R.C., Batista G.E.A.P.A., Silva D.F.","Class imbalance revisited: a new experimental setup to assess the performance of treatment methods",2015,"45","1",,"247","270",,"10.1007/s10115-014-0794-3","Centro de Matemática, Computação e Cognição, Universidade Federal do ABC, Santo André, SP, Brazil; Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo, São Carlos, Brazil","Prati, R.C., Centro de Matemática, Computação e Cognição, Universidade Federal do ABC, Santo André, SP, Brazil; Batista, G.E.A.P.A., Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo, São Carlos, Brazil; Silva, D.F., Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo, São Carlos, Brazil","In the last decade, class imbalance has attracted a huge amount of attention from researchers and practitioners. Class imbalance is ubiquitous in Machine Learning, Data Mining and Pattern Recognition applications; therefore, these research communities have responded to such interest with literally dozens of methods and techniques. Surprisingly, there are still many fundamental open-ended questions such as “Are all learning paradigms equally affected by class imbalance?”, “What is the expected performance loss for different imbalance degrees?” and “How much of the performance losses can be recovered by the treatment methods?”. In this paper, we propose a simple experimental design to assess the performance of class imbalance treatment methods. This experimental setup uses real data set with artificially modified class distributions to evaluate classifiers in a wide range of class imbalance. We apply such experimental design in a large-scale experimental evaluation with 22 data set and seven learning algorithms from different paradigms. We also propose a statistical procedure aimed to evaluate the relative degradation and recoveries, based on confidence intervals. This procedure allows a simple yet insightful visualization of the results, as well as provide the basis for drawing statistical conclusions. Our results indicate that the expected performance loss, as a percentage of the performance obtained with the balanced distribution, is quite modest (below 5 %) for the most balanced distributions up to 10 % of minority examples. However, the loss tends to increase quickly for higher degrees of class imbalance, reaching 20 % for 1 % of minority class examples. Support Vector Machine is the classifier paradigm that is less affected by class imbalance, being almost insensitive to all but the most imbalanced distributions. Finally, we show that the treatment methods only partially recover the performance losses. On average, typically, about 30 % or less of the performance that was lost due to class imbalance was recovered by these methods. © 2014, Springer-Verlag London.","Class imbalance; Experimental setup; Sampling methods","Springer London"
"Mahmood Z., Bowes D., Lane P.C.R., Hall T.","What is the impact of imbalance on software defect prediction performance?",2015,"2015-October",,,"","",,"10.1145/2810146.2810150","School of Technology, Research Institute, Hatfield, Hertfordshire, AL10 9AB, United Kingdom; Dept. of Computer Science, Brunel University, Uxbridge, Middlesex, London, UB8 3PH, United Kingdom","Mahmood, Z., School of Technology, Research Institute, Hatfield, Hertfordshire, AL10 9AB, United Kingdom; Bowes, D., School of Technology, Research Institute, Hatfield, Hertfordshire, AL10 9AB, United Kingdom; Lane, P.C.R., School of Technology, Research Institute, Hatfield, Hertfordshire, AL10 9AB, United Kingdom; Hall, T., Dept. of Computer Science, Brunel University, Uxbridge, Middlesex, London, UB8 3PH, United Kingdom","Software defect prediction performance varies over a large range. Menzies suggested there is a ceiling effect of 80% Recall [8]. Most of the data sets used are highly imbalanced. This paper asks, what is the empirical effect of using different datasets with varying levels of imbalance on predictive performance? We use data synthesised by a previous meta-analysis of 600 fault prediction models and their results. Four model evaluation measures (the Mathews Correlation Coeficient (MCC), F-Measure, Precision and Re- call ) are compared to the corresponding data imbalance ratio. When the data are imbalanced, the predictive performance of software defect prediction studies is low. As the data become more balanced, the predictive performance of prediction models increases, from an average MCC of 0.15, until the minority class makes up 20% of the instances in the dataset, where the MCC reaches an average value of about 0.34. As the proportion of the minority class increases above 20%, the predictive performance does not significantly increase. Using datasets with more than 20% of the instances being defective has not had a significant impact on the predictive performance when using MCC. We conclude that comparing the results of defect prediction studies should take into account the imbalance of the data. © 2015 ACM.","Data Imbalance; Defect Prediction; Machine Learning","Association for Computing Machinery"
"Zhang Z., Wang M., Geng X.","Crowd counting in public video surveillance by label distribution learning",2015,"166",,,"151","163",,"10.1016/j.neucom.2015.03.083","State Key Laboratory, Beihang University, Beijing, China; School of Computer Science and Engineering, Southeast University, Nanjing, China","Zhang, Z., State Key Laboratory, Beihang University, Beijing, China; Wang, M., State Key Laboratory, Beihang University, Beijing, China; Geng, X., School of Computer Science and Engineering, Southeast University, Nanjing, China","The increase of population causes the raise of security threat in crowed environment, which makes crowd counting becoming more and more important. For common complexity scenes, existing crowd counting approaches are mainly based on regression models which learn a mapping between low-level features and class labels. One of the major challenges for generating a good regression function is the insufficient and imbalanced training data. Observationally, the problem of crowd counting has the characteristic that crowd images with adjacent class labels contain similar features, which can be utilized to reduce the effect of insufficiency and imbalance by the strategy of information reuse. Consequently, this paper introduces a label distribution learning (LDL) strategy into crowd counting, where crowd images are labelled with label distributions instead of the conventional single labels. In this way, one crowd instance can contribute to not only the learning of its real class label, but also the learning of neighboring class labels. Hence the training data are increased significantly, and the classes with insufficient training data are supplied with more training data, which belongs to their adjacent classes. Experimental results prove the effectiveness and robustness of the LDL method for crowd counting. We have also shown the outstanding performance of the approach in different dataset. © 2015 Elsevier B.V..","Crowd counting; Information reuse; Label distributions; Visual surveillance","Elsevier B.V."
"Day M.-Y., Tsai C.-C.","Machine Learning for Imbalanced Datasets of Recognizing Inference in Text with Linguistic Phenomena",2015,,,"7301027","562","568",,"10.1109/IRI.2015.99","Department of Information Management, Tamkang University, Taiwan","Day, M.-Y., Department of Information Management, Tamkang University, Taiwan; Tsai, C.-C., Department of Information Management, Tamkang University, Taiwan","Recognizing inference in text (RITE) plays an important role in the answer validation modules for a Question Answering (QA) system. The problem of class imbalance has received increased attention in the machine learning community. In recent years, several attempts have been made on the linguistic phenomena analysis, however, little is known about the effects of imbalanced datasets with linguistic phenomenon in recognizing inference in text. The objective of this paper is to provide an empirical study on learning imbalanced datasets of recognizing inference in text with linguistic phenomena for a better understanding of the effects of imbalanced datasets with linguistic phenomenon in recognizing inference in text. In this paper, we proposed an analysis of imbalanced datasets of recognizing inference in text with linguistic phenomena using NTCIR 11 RITE-VAL gold standard dataset and development dataset. The experimental results suggest that the distribution of imbalanced datasets of recognizing inference in text with linguistic phenomenon could be dramatically varied on the performance of a machine learning classifier. © 2015 IEEE.","Imbalanced Datasets; Linguistic Phenomena; Machine Learning; Recognizing Inference in Text; Textual Entailment","Institute of Electrical and Electronics Engineers Inc."
"Fazelpour A., Khoshgoftaar T.M., DIttman D.J., Shanab A.A.","Observing the Effect of the Choice of Classifier on Bioinformatics Data with Varying Levels of Data Quality and Class Balance",2015,,,"7301001","372","379",,"10.1109/IRI.2015.63","Florida Atlantic University, Boca Raton, FL  33431, United States","Fazelpour, A., Florida Atlantic University, Boca Raton, FL  33431, United States; Khoshgoftaar, T.M., Florida Atlantic University, Boca Raton, FL  33431, United States; DIttman, D.J., Florida Atlantic University, Boca Raton, FL  33431, United States; Shanab, A.A., Florida Atlantic University, Boca Raton, FL  33431, United States","Noise is a prominent challenge found in many bioinformatics datasets and it refers to erroneous or missing data. The presence of noise in gene expression datasets has adverse effects on machine-learning techniques, such as supervised classification algorithms and feature selection techniques. Additionally, the identification of noise and its quantification are challenging tasks that require a proper mechanism to manage them in order to improve the performance of classifiers and feature selection methods. In this study, our motivation is to investigate the effects of class noise on the classification performance of various learners using multiple derived datasets with varying degrees of data quality and class imbalance. Class imbalance is another challenging characteristic that occurs when one class has many more instances than the other class(es). To this end, we conducted experiments using a filter-based subset selection method applied to multiple derived datasets generated by injecting artificial class noise in a controlled manner creating three levels of data quality: High-Quality, Average-Quality, and Low-Quality. Our results along with statistical analysis show that Random Forest outperforms other learners without any exceptions for all levels of balance and data quality. Therefore, we recommend using Random Forest as the noise-tolerant and robust classifier when dealing with varying degrees of quality for bioinformatics datasets. © 2015 IEEE.","bioinformatics; class imbalance; Class noise; data quality; filter-based subset evaluator; random forest","Institute of Electrical and Electronics Engineers Inc."
"Ramentol E., Vluymans S., Verbiest N., Caballero Y., Bello R., Cornelis C., Herrera F.","IFROWANN: Imbalanced Fuzzy-Rough Ordered Weighted Average Nearest Neighbor Classification",2015,"23","5","6960859","1622","1637",,"10.1109/TFUZZ.2014.2371472","Department of Computer Science, University of Camagüey, Camagüey, 74650, Cuba; Department of Applied Mathematics, Computer Science and Statistics, Ghent University, Ghent, 9000, Belgium; Department of Computer Science, Central University of Las Villas, Santa Clara, 54830, Cuba; Department of Computer Science and Artificial Intelligence, Research Center on Information and Communications Technology (CITIC-UGR), University of Granada, Granada, 18071, Spain","Ramentol, E., Department of Computer Science, University of Camagüey, Camagüey, 74650, Cuba; Vluymans, S., Department of Applied Mathematics, Computer Science and Statistics, Ghent University, Ghent, 9000, Belgium; Verbiest, N., Department of Applied Mathematics, Computer Science and Statistics, Ghent University, Ghent, 9000, Belgium; Caballero, Y., Department of Computer Science, University of Camagüey, Camagüey, 74650, Cuba; Bello, R., Department of Computer Science, Central University of Las Villas, Santa Clara, 54830, Cuba; Cornelis, C., Department of Applied Mathematics, Computer Science and Statistics, Ghent University, Ghent, 9000, Belgium, Department of Computer Science and Artificial Intelligence, Research Center on Information and Communications Technology (CITIC-UGR), University of Granada, Granada, 18071, Spain; Herrera, F., Department of Computer Science and Artificial Intelligence, Research Center on Information and Communications Technology (CITIC-UGR), University of Granada, Granada, 18071, Spain","Imbalanced classification deals with learning from data with a disproportional number of samples in its classes. Traditional classifiers exhibit poor behavior when facing this kind of data because they do not take into account the imbalanced class distribution. Four main kinds of solutions exist to solve this problem: modifying the data distribution, modifying the learning algorithm for considering the imbalance representation, including the use of costs for data samples, and ensemble methods. In this paper, we adopt the second type of solution and introduce a classification algorithm for imbalanced data that uses fuzzy rough set theory and ordered weighted average aggregation. The proposal considers different strategies to build a weight vector to take into account data imbalance. Our methods are validated by an extensive experimental study, showing statistically better results than 13 other state-of-the-art methods. © 2014 IEEE.","fuzzy rough sets; imbalanced classification; machine learning; ordered weighted average","Institute of Electrical and Electronics Engineers Inc."
"Yu H., Sun C., Yang W., Xu S., Dan Y.","A review of class imbalance learning methods in bioinformatics",2015,"10","4",,"360","369",,"10.2174/1574893609666140829204535","School of Automation, Southeast University, Nanjing, Jiangsu  210096, China; School of Computer Science and Engineering, Jiangsu University of Science and Technology, Zhenjiang, Jiangsu  212003, China; School of Information Engineering, Yancheng Institute of Technology, Yancheng, Jiangsu  224051, China; School of Biology and Chemical Engineering, Jiangsu University of Science and Technology, Zhenjiang, Jiangsu  212003, China","Yu, H., School of Automation, Southeast University, Nanjing, Jiangsu  210096, China, School of Computer Science and Engineering, Jiangsu University of Science and Technology, Zhenjiang, Jiangsu  212003, China; Sun, C., School of Automation, Southeast University, Nanjing, Jiangsu  210096, China; Yang, W., School of Automation, Southeast University, Nanjing, Jiangsu  210096, China; Xu, S., School of Information Engineering, Yancheng Institute of Technology, Yancheng, Jiangsu  224051, China; Dan, Y., School of Biology and Chemical Engineering, Jiangsu University of Science and Technology, Zhenjiang, Jiangsu  212003, China","In recent years, research on bioinformatics has increasingly focused on the problem of class imbalance. A classification task is called class imbalance when the number of instances belonging to one class or several classes exceeds that of the other classes. Class imbalance often underestimates the performance of minority classes. This article provides a review of the most widely used class imbalance learning methods and their applications in various bioinformatic problems, including disease diagnosis based on gene expression data and protein mass spectrometry data, translation initiation site recognition based on DNA sequences, protein function classification using amino acid sequences, activities prediction of drug molecules, recognition of precursor microRNA (pre-miRNAs), etc. This article also summarizes the current challenges and future possible trends of class imbalance learning methods in Bioinformatics. © 2015 Bentham Science Publishers.","Activities prediction of drug molecules; bioinformatics; Class imbalance; Gene expression; Protein function classification; Protein mass spectrometry; Recognition of precursor microRNA; Translation initiation site recognition","Bentham Science Publishers B.V."
"Bolón-Canedo V., Morán-Fernández L., Alonso-Betanzos A.","An insight on complexity measures and classification in microarray data",2015,"2015-September",,"7280302","","",,"10.1109/IJCNN.2015.7280302","Department of Computer Science, University of A Coruña, Campus de Elviña s/n, A Coruña, 15071, Spain","Bolón-Canedo, V., Department of Computer Science, University of A Coruña, Campus de Elviña s/n, A Coruña, 15071, Spain; Morán-Fernández, L., Department of Computer Science, University of A Coruña, Campus de Elviña s/n, A Coruña, 15071, Spain; Alonso-Betanzos, A., Department of Computer Science, University of A Coruña, Campus de Elviña s/n, A Coruña, 15071, Spain","Microarray data classification has been typically seen as a difficult challenge for machine learning researchers mainly due to its high dimension in feature while sample size is small. However, this type of data presents other complications such as overlapping between classes, dataset shift, class imbalance, non-linearity, or features extracted under extremely different distributions. This paper intends to analyze in depth the theoretical complexity of several popular binary datasets, by making use of complexity measures, and then connecting it with the empirical results obtained by four widely-used classifiers. Two different situations are covered: datasets with only training set and datasets originally divided into training and test sets. In both cases it is demonstrated that there exists a correlation between the complexity measures and the actual error rates, which can facilitate in the future how to deal with a given dataset. Finally, we present a case study on Prostate dataset, improving the test classification accuracy from 53% to 97%. © 2015 IEEE.","Colon; DNA; Nickel; Proteins; Support vector machines","Institute of Electrical and Electronics Engineers Inc."
"Mao W., Wang J., Wang L.","Online sequential classification of imbalanced data by combining extreme learning machine and improved SMOTE algorithm",2015,"2015-September",,"7280620","","",,"10.1109/IJCNN.2015.7280620","School of Computer and Information Engineering, Henan Normal University, Xinxiang, 453007, China","Mao, W., School of Computer and Information Engineering, Henan Normal University, Xinxiang, 453007, China; Wang, J., School of Computer and Information Engineering, Henan Normal University, Xinxiang, 453007, China; Wang, L., School of Computer and Information Engineering, Henan Normal University, Xinxiang, 453007, China","Presently, the data imbalance problems become more pronounced in the applications of machine learning and pattern recognition. However, many traditional machine learning methods suffer from the imbalanced data which are also collected in online sequential manner. To get fast and efficient classification for this special problem, a new online sequential extreme learning machine method with sequential SMOTE strategy is proposed. The key idea of this method is to reduce the randomness while generating virtual minority samples by means of the distribution characteristic of online sequential data. Utilizing online-sequential extreme learning machine as baseline algorithm, this method contains two stages. In offline stage, principal curve is introduced to model the each class's distribution based on which some virtual samples are generated by synthetic minority over-sampling technique(SMOTE). In online stage, each class's membership is determined according to the projection distance of sample to principal curve. With the help of these memberships, the redundant majority samples as well as unreasonable virtual minority samples are all excluded to lighten the imbalance level in online stage. The proposed method is evaluated on four UCI datasets and the real-world air pollutant forecasting dataset. The experimental results show that, the proposed method outperforms the classical ELM, OS-ELM and SMOTE-based OS-ELM in terms of generalization performance and numerical stability. © 2015 IEEE.","Classification algorithms; Niobium; Prediction algorithms; Standards","Institute of Electrical and Electronics Engineers Inc."
"Pérez-Sánchez B., Fontenla-Romero O., Sánchez-Maroño N.","Selecting target concept in one-class classification for handling class imbalance problem",2015,"2015-September",,"7280661","","",,"10.1109/IJCNN.2015.7280661","Laboratory for Research and Development in Artificial Intelligence (LIDIA), Department of Computer Science, Faculty of Informatics, University of A Coruña, Campus de Elviña s/n, A Coruña, 15071, Spain","Pérez-Sánchez, B., Laboratory for Research and Development in Artificial Intelligence (LIDIA), Department of Computer Science, Faculty of Informatics, University of A Coruña, Campus de Elviña s/n, A Coruña, 15071, Spain; Fontenla-Romero, O., Laboratory for Research and Development in Artificial Intelligence (LIDIA), Department of Computer Science, Faculty of Informatics, University of A Coruña, Campus de Elviña s/n, A Coruña, 15071, Spain; Sánchez-Maroño, N., Laboratory for Research and Development in Artificial Intelligence (LIDIA), Department of Computer Science, Faculty of Informatics, University of A Coruña, Campus de Elviña s/n, A Coruña, 15071, Spain","Microarray data classification is a difficult problem for computational techniques due to its inherent properties mainly, its imbalanced distribution and small sample size. Machine learning has been widely employed for handling this type of data predominantly applying two-class classification techniques. However, one-class approach has the ability to deal with imbalanced distribution and unexpected noise in the data. To deal with these situations it is considered that the best option is using the minority class as the target concept. This is reinforced by the idea of obtaining a classifier able to adjust itself to the specificity of the given class despite sacrificing the additional information about the second class. Although this consideration appears in different research, there are no thorough studies that prove it experimentally. In this paper, we investigate the suitability of employing minority class as the concept target in one-class classification to handle the class imbalance problem. A study over several microarray data sets is included. The results confirm that the use of minority class allows us to obtain better performance in one-class classification. © 2015 IEEE.","Adaptation models; Colon; Libraries; Programming; Prototypes; Training; Upper bound","Institute of Electrical and Electronics Engineers Inc."
"Kumar A S., Nigam L., Karnam D., Murthy S.K., Fedorovych P., Kalidindi V.","Machine learning for seizure prediction: A revamped approach",2015,,,"7275767","1159","1164",,"10.1109/ICACCI.2015.7275767","Quadratic Insights Pvt Ltd, India; Nfinity LLC, United States","Kumar A, S., Quadratic Insights Pvt Ltd, India; Nigam, L., Quadratic Insights Pvt Ltd, India; Karnam, D., Quadratic Insights Pvt Ltd, India; Murthy, S.K., Quadratic Insights Pvt Ltd, India; Fedorovych, P., Nfinity LLC, United States; Kalidindi, V., Nfinity LLC, United States","Occurrence of multiple seizures is a common phenomenon observed in patients with epilepsy: a neurological malfunction that affects approximately 50 million people in the world. Seizure prediction is widely acknowledged as an important problem in the neurological domain, as it holds promise to improve the quality of life for patients with epilepsy. A noticeable number of clinical studies showed evidence of symptoms (patterns) before seizures and thus, there is large research on predicting seizures. There is very little existing literature that systematically illustrates the steps in machine learning for seizure prediction, limited training data and class imbalance are a few challenges. In this paper, we propose a novel way to overcome these challenges. We present the improved results for various classification algorithms. An average of 21.71% improvement in accuracy is attained using our approach. © 2015 IEEE.","Data Imbalance; Epilepsy; Machine Learning; Seizure Prediction","Institute of Electrical and Electronics Engineers Inc."
"Qin F., Zheng Z., Bai C., Qiao Y., Zhang Z., Chen C.","Cross-Project Aging Related Bug Prediction",2015,,,"7272913","43","48",,"10.1109/QRS.2015.17","School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; Institute of Software Chinese, Academy of Sciences, Beijing, China","Qin, F., School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; Zheng, Z., School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; Bai, C., School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; Qiao, Y., School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; Zhang, Z., Institute of Software Chinese, Academy of Sciences, Beijing, China; Chen, C., School of Automation Science and Electrical Engineering, Beihang University, Beijing, China","In a long running system, software tends to encounter performance degradation and increasing failure rate during execution, which is called software aging. The bugs contributing to the phenomenon of software aging are defined as Aging Related Bugs (ARBs). Lots of manpower and economic costs will be saved if ARBs can be found in the testing phase. However, due to the low presence probability and reproducing difficulty of ARBs, it is usually hard to predict ARBs within a project. In this paper, we study whether and how ARBs can be located through cross-project prediction. We propose a transfer learning based aging related bug prediction approach (TLAP), which takes advantage of transfer learning to reduce the distribution difference between training sets and testing sets while preserving their data variance. Furthermore, in order to mitigate the severe class imbalance, class imbalance learning is conducted on the transferred latent space. Finally, we employ machine learning methods to handle the bug prediction tasks. The effectiveness of our approach is validated and evaluated by experiments on two real software systems. It indicates that after the processing of TLAP, the performance of ARB bug prediction can be dramatically improved. © 2015 IEEE.","aging related bug; bug prediction; ross-project; software aging; transfer learning","Institute of Electrical and Electronics Engineers Inc."
"Perry T., Bader-El-Den M., Cooper S.","Imbalanced classification using genetically optimized cost sensitive classifiers",2015,,,"7256956","680","687",,"10.1109/CEC.2015.7256956","School of Computing, University of Portsmouth, Portsmouth, PO1 3HE, United Kingdom; Seagate Technology, Langstone Road, Havant, PO9 1SA, United Kingdom","Perry, T., School of Computing, University of Portsmouth, Portsmouth, PO1 3HE, United Kingdom; Bader-El-Den, M., School of Computing, University of Portsmouth, Portsmouth, PO1 3HE, United Kingdom; Cooper, S., Seagate Technology, Langstone Road, Havant, PO9 1SA, United Kingdom","Classification is one of the most researched problems in machine learning, since the 1960s a myriad of different techniques have been proposed. The purpose of a classification algorithm, also known as a 'classifier', is to identify what class, or category an observation belongs to. In many real-world scenarios, datasets tend to suffer from class imbalance, where the number of observations belonging to one class greatly outnumbers that of the observations belonging to other classes. Class imbalance has been shown to hinder the performance of classifiers, and several techniques have been developed to improve the performance of imbalanced classifiers. Using a cost matrix is one such technique for dealing with class imbalance, however it requires a matrix to be either pre-defined, or manually optimized. This paper proposes an approach for automatically generating optimized cost matrices using a genetic algorithm. The genetic algorithm can generate matrices for classification problems with any number of classes, and is easy to tailor towards specific use-cases. The proposed approach is compared against unoptimized classifiers and alternative cost matrix optimization techniques using a variety of datasets. In addition to this, storage system failure prediction datasets are provided by Seagate UK, the potential of these datasets is investigated. © 2015 IEEE.",,"Institute of Electrical and Electronics Engineers Inc."
"Schaefer G., Nakashima T.","Strategies for addressing class imbalance in ensemble classification of thermography breast cancer features",2015,,,"7257177","2362","2367",,"10.1109/CEC.2015.7257177","Department of Computer Science, Loughborough University, Loughborough, United Kingdom; Department of Computer Science and Intelligent Systems, Osaka Prefecture University, Sakai, Japan","Schaefer, G., Department of Computer Science, Loughborough University, Loughborough, United Kingdom; Nakashima, T., Department of Computer Science and Intelligent Systems, Osaka Prefecture University, Sakai, Japan","Thermography provides an interesting alternative to mammography for diagnosing breast cancer as it is a noncontact, non-invasive and passive technique that is able to detect small tumors and thus can lead to earlier diagnosis. Computeraided diagnostic approaches based on thermography are typically split into a feature extraction stage that derives useful information from the thermogram images, and a classification stage that distinguishes between malignant and benign cases. The latter is challenging since, as is the case for many medical decision making problems, there are (many) more benign cases available for classifier training compared to malignant cases, leading to an imbalanced classification problem. In this paper, we first perform image analysis to identify features describing bilateral differences in regions of interest in the thermogram. These features then form the input for a pattern classification stage for which we present several strategies to address the existing class imbalance in the context of ensemble classifiers. In particular, we discuss an ensemble constructed of cost-sensitive decision tree classifiers, an ensemble whose base classifiers are trained on balanced subspaces, and an ensemble that is based on the combination of one-class classifiers. All three strategies are evaluated on a challenging dataset of about 150 thermograms and it is shown that they provide very good classification performance and furthermore perform favourably compared to other state-of-the-art classifier ensembles for imbalanced data. © 2015 IEEE.","breast cancer; breast thermogram; ensemble classification; imbalanced classification; machine learning","Institute of Electrical and Electronics Engineers Inc."
"Purwar A., Singh S.K.","Issues in data mining: A comprehensive survey",2015,,,"7238447","","",,"10.1109/ICCIC.2014.7238447","Department of Computer Science/Information Technology, Jaypee Institute of Information Technology, Noida, India","Purwar, A., Department of Computer Science/Information Technology, Jaypee Institute of Information Technology, Noida, India; Singh, S.K., Department of Computer Science/Information Technology, Jaypee Institute of Information Technology, Noida, India","Data mining has attained marvelous triumph in almost every domain such as health care, wireless sensor network, social network etc with development of its various algorithms. Every data mining algorithm has its inherent limitations. The application domain and the actual data, both together, heavily influence the particular choice as well as performance of any data mining, machine learning or statistical algorithm. The contribution that this paper makes is that it elaborates a number of data mining issues along with the metrics to measure the data quality and algorithm performance under a single hood. This paper has elaborated seven most vital issues in data mining, i.e., Missing Value Imputation, Feature Selection, Outlier Detection, Cluster Analysis of high dimensional data, Imbalanced classes in classification, Privacy of data, Mining from complex/distributed data. It not only presents these issues but also discusses their existing solutions. Survey also throws light on the limitations and research gaps for prospective researchers. These issues are identified after an extensive study on 50 different papers. Selection of these papers is carefully done so as to investigate core issues in data mining that still need to be addressed. This work has also grouped thirty data quality and algorithm performance metrics used in literature into three categories. This comprehensive understanding of the issues and metrics can be a treat for beginners in the research of data mining. Survey shows that the most frequently used algorithm performance measures are accuracy and time complexity. © 2014 IEEE.","clustering; Data mining; Imbalance classification; Missing value imputation (MVI); privacy data mining","Institute of Electrical and Electronics Engineers Inc."
